City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,70.5,few clouds,-33.5906,26.891,The Halyards Hotel
1,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Central
2,Punta Arenas,CL,37.51,broken clouds,-53.15,-70.9167,Hotel Hain
3,Ushuaia,AR,40.66,few clouds,-54.8,-68.3,Albatross Hotel
4,Ribeira Grande,PT,67.51,clear sky,38.5167,-28.7,Quinta da Meia Eira
5,Rikitea,PF,74.01,light rain,-23.1203,-134.9692,People ThankYou
6,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Middelburg,ZA,48.61,clear sky,-25.7751,29.4648,Oregon Place Guest House
8,Cidreira,BR,66.27,scattered clouds,-30.1811,-50.2056,Hotel Castelo
9,Ordu,TR,57.7,clear sky,40.9086,37.6845,Orencik Koyu Muhtarligi
10,Mandalgovi,MN,65.71,overcast clouds,45.7625,106.2708,В.Ганбат
11,Ronneby,SE,61.3,clear sky,56.21,15.276,Hotell Davids Kulle
12,Klaksvik,FO,49.12,light rain,62.2266,-6.589,Airbnb rooms
13,Hermanus,ZA,58.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Yumen,CN,70.07,broken clouds,40.2833,97.2,
15,Atuona,PF,77.43,clear sky,-9.8,-139.0333,Villa Enata
16,Stromness,GB,52.88,overcast clouds,58.965,-3.296,The Old Smokery
17,Santa Cruz,BO,83.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
18,Saskylakh,RU,58.98,broken clouds,71.9167,114.0833,
19,Torbat-E Jam,IR,84.42,clear sky,35.244,60.6225,White building
20,Mataura,NZ,42.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
21,Duma,CN,65.48,clear sky,34.7653,108.135,永寿服务区-宾馆
22,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
23,Fomboni,KM,78.1,light rain,-12.28,43.7425,Auberge les abou
24,Zonguldak,TR,57.78,clear sky,41.25,31.8333,Yazioren Koyu Muhtarligi
25,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
26,Barrow,US,46.42,clear sky,71.2906,-156.7887,King Eider Inn
27,Longyearbyen,SJ,45.43,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
28,Krasnovishersk,RU,54.59,overcast clouds,60.4078,57.082,Vishera hotel
29,Shama,CN,53.74,clear sky,33.6102,104.2852,
30,Grand Baie,MU,72.07,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
31,Lanxi,CN,75.67,overcast clouds,29.2195,119.477,Shangri-La Hotel
32,Leningradskiy,RU,40.75,overcast clouds,69.3833,178.4167,Gostinitsa
33,Medea,DZ,81.23,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
34,Carutapera,BR,76.73,few clouds,-1.195,-46.02,Lidera
35,Busselton,AU,48.42,clear sky,-33.65,115.3333,Observatory Guest House
36,Upernavik,GL,40.28,overcast clouds,72.7868,-56.1549,Café de Upernavik
37,Lormi,IN,80.85,overcast clouds,22.2833,81.7333,suresh Kumar Porte
38,Jamestown,US,78.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Albany,US,82.81,scattered clouds,42.6001,-73.9662,
